con1	con1	trt1	trt2
IGSF3	18.8	18.69	21.51	22.02
ZNF697	7.84	6.99	6.74	6.08
CTTNBP2NL	9.85	9.11	13.33	14.52
CD53	0.13	0.1	0.09	0.08
GPR161	12.82	11.1	6.39	7.16
POGK	132.51	147.48	122.82	125.37
GPA33	0.21	0.38	0	0
UCK2	64.46	48.85	33.85	38.37
POU2F1	3.72	3.58	2.67	2.48
ILDR2	48.05	87.53	46.46	47.6
DPT	0	0.04	0	0
ADCY10	0	0	0	0.16
NECTIN4	0.69	2.21	0.38	0.22
UFC1	459.62	452.91	225.29	228.64
NUF2	503.93	307.69	99.82	103.88
USP21	51.79	54.91	39.05	36.59
PRCC	46.16	44.25	45.57	36.59
FCRL5	0	0	0	0
ABL2	20.22	26.65	28.71	29.02
RGS16	1.29	0.28	0.12	0.08
HMCN1	0.85	2.1	1.76	0.68
RGL1	3.94	4.27	8.08	7.72
TUFT1	11.19	20.41	46.63	45.44
ECM1	12.19	10.72	8.41	8.89
SNX27	8.23	8.25	8.6	7.82
MCL1	619.16	718.09	880.41	856.14
RFX5	23.33	32.81	24.66	32.02
PI4KB	34.03	38.48	41.92	36.21
ANP32E	116.11	79.12	36.66	33.52
MINDY1	4.81	5.17	7.26	5.17
ENSA	947.16	796.1	1024.8	957.68
SEMA6C	2.03	2.12	6.02	6.3
ARNT	16.05	15.73	14.01	13.31
GOLPH3L	11.32	12.58	15.99	11.94
KCNH1	0.37	1.01	0.35	0.11
DTL	35.29	24.29	20.34	24.24
VASH2	4.28	4.31	3.9	3.95
SMYD2	34.8	35.77	30.29	35.3
SUSD4	2.08	1.7	0.42	0.62
DUSP10	75.07	99.31	23.45	19.65
HHIPL2	12.57	42.29	16.32	15.31
TP53BP2	30.25	28.77	39.75	32.22
S100A8	0	0	0	0
TPM3	372.22	289.46	277.45	272.38
SLC27A3	2.81	3.04	5.13	3.44
HAX1	74.2	79.85	51.18	55.85
ILF2	295.37	216.18	184.97	179.35
RIT1	12.25	14.2	12.24	14.76
INTS3	13.99	21.12	13.09	13.56
ACTA1	0.04	0.05	0	0
GALNT2	103.52	126.09	171.66	179.69
LYST	6.96	9.98	6.43	7.41
CEP170	35.94	28.91	30.56	27.19
SRP9	263.32	217.89	220.33	201.52
NVL	15.33	16.23	16.38	14.15
DEGS1	93.41	107.12	115.25	116.17
FBXO28	21.43	15.44	15.54	13.47
ARF1	372.31	383.84	353.63	311.19
ITPKB	4.58	6.23	2.53	2.23
CDC42BPA	10.49	10.8	12.68	13.61
CNIH3	10.85	14.65	20.54	21.55
PARP1	107.47	85.3	82.42	81.27
